Adams-Hemphill Neighborhood Park,"201 W 30th St., Austin, Texas 78705",Northeast,Jimmy Cone,9.98
Alamo Pocket Park,"2100 Alamo St., Austin, Texas 78722",Northeast,Jimmy Cone,1.85
Alderbrook Pocket Park,,Northwest,Alberto Perez,1.91
Andrews School Park,"2400 Lehigh Dr.2400 Lehigh Dr., Austin, Texas 78723",Northeast,Jimmy Cone,3.13
Archstone Greenbelt,"4308 Staggerbrush Rd., Austin, Texas 78749",Central South,Joe Diaz,0.53
Armadillo Neighborhood Park,"910 Armadillo Rd., Austin, Texas 78745",Central South,Joe Diaz,2.46
Asian American Resource Center*,"8401 Cameron Rd., Austin, Texas 78754",Northeast,Jimmy Cone,15
Astor Place Pocket Park,"1716 Astor Pl., Austin, Texas 78721",Northeast,Jimmy Cone,1.44
Auditorium Shores at Town Lake Metropolitan Park,"800 W Riverside Dr., Austin, Texas 78704",,Joe Diaz,48.58
Austin High Tennis Center,"1717 W Cesar Chavez St., Austin, Texas 78703",Central South,Joe Diaz,3.22
Austin Memorial Park Cemetery,"3000 Hancock Dr., Austin, Texas 78731",Northwest,Alberto Perez,84.07
Austin Recreation Center,"1301 Shoal Creek Blvd., Austin, Texas 78701",Central South,Joe Diaz,5.48
Austin's Colony Neighborhood Park,"14501 Lippincott St. Austin, Texas 78725",Northeast,Jimmy Cone,9.23
Bailey Neighborhood Park,"1101 W 33rd St., Austin, Texas 78705",Northwest,Alberto Perez,2.4
Balcones District Park,"12017 Amherst Dr., Austin, Texas 78759",Northwest,Alberto Perez,51.23
Barrington School Park,"9306 Glenn Ln., Austin, Texas 78753",Northwest,Alberto Perez,7.68
Barrow Nature Preserve,"7515 Step Down Cv., Austin, Texas 78731",Northwest,Alberto Perez,7.04
Bartholomew District Park,"5201 Berkman Dr., Austin, Texas 78723",Northwest,Alberto Perez,50.59
Barton Creek Greenbelt,"3753 S Capital of Texas Hwy., Austin, Texas 78746",Central South,Joe Diaz,832.46
Barton Creek Wilderness Park,"3918 S Mopac Expy Svrd SB, Austin, Texas 78746",Central South,Joe Diaz,1106.69
Barton Hills School Park,"2009 Homedale Dr., Austin, Texas 78704",Central South,Joe Diaz,3.76
Battle Bend Neighborhood Park,"121 Sheraton Ave., Austin, Texas 78745",Central South,Joe Diaz,4.75
Bauerle Ranch Park,"2715 Lynnbrook Dr., Austin, Texas 78748",Central South,Joe Diaz,319.39
Beverly S. Sheffield Northwest District Park,"7000 Ardath St., Austin, Texas 78757",Northwest,Alberto Perez,31.55
